key,english,german,japanese
,,,
menu_user|mu-welcome,Hello <strong><%= first_name %></strong>,Hallo <strong><%= first_name %></strong>,ようこそ<strong><%= first_name %></strong>
menu_user|mu-profile,Profile,Profil,プロファイル
menu_user|mu-promoter_admin_area,Promoter Admin Area,Promoter Administrator Ecke,
menu_user|mu-manager_admin_area,Manager Admin Area,Manager Administrator Ecke,
menu_user|mu-super_admin_area,Super Admin Area,Super Administrator Ecke,
menu_user|mu-host_admin_area,Host Admin Area,Gastgeber Administrator Ecke,
menu_user|mu-invitations,Invitations,Einladungen,
menu_user|mu-logout,Logout,Abmelden,ログオフ
,,,
friends|fr-login_message,Log in to ClubbingOwl with Facebook to see what your friends are up to.,,
friends|fr-login_message_indiv,"Log in to ClubbingOwl with Facebook to see what <%=first_name?>'s favorite clubs, promoters and guest-lists.",,
friends|fr-indiv_friend_title,<%=full_name%> is on ClubbingOwl!,,
friends|fr-since_date,ClubbingOwl user since <%=date%>,,
friends|fr-friends_title,ClubbingOwl Friends,,
friends|fr-recent_activity_title,Recent Activity,,
friends|fr-promoters_title,Promoters,,
friends|fr-rec_act_join_vc,<%= individual_friend_obj.users_first_name %> joined ClubbingOwl!,,
friends|fr-rec_act_join_pgl,"<%= individual_friend_obj.users_first_name %> joined <strong>""<%= data.pgla_name %>""</strong> @ <%= data.tv_name %>",,
friends|fr-rec_act_join_tgl,"<%= individual_friend_obj.users_first_name %> joined <strong>""<%= data.tgla_name %>""</strong> @ <%= data.tv_name %>",,
,,,
,,,
menu|m-friends,Friends,Freunde,友達
menu|m-promoters,Promoters,Promoter,プロモーター
menu|m-venues,Venues,Veranstaltungen,会場
menu|m-search,Search,Suche,検索
menu|m-lists,Lists,Verzeichnis,
menu|m-all_cities,Full City List,Komplette Staete Verzeichnis,
menu|m-login,Login,Anmelden,ログイン
menu|m-login_message,Login to ClubbingOwl with your Facebook account.,Anmelden bei ClubbingOwl mit deinem Facebook Profil.,Facebookからログイン
,,,
invite|i-invite_msg,Welcome to ClubbingOwl! The  easiest way to join guest-lists and reserve tables at your favorite venues.,Willkommen bei ClubbingOwl! Wir sind zur Zeit im beta Modus und werden erst nach und nach mehr Features freischalten. Schaut bitte bald zurueck!,
invite|i-invite_header,Invite Your Friends,,
,,,
footer|f-m1,ClubbingOwl is the easiest way to join guest-lists and reserve tables at your favorite venues.,,
footer|f-m2,"ClubbingOwl provides you with the fastest way to plan your evening. Find out where your friends party and join them! With ClubbingOwl being on a guest-list or reserving a table is only one click away! It’s free, try it!",,
footer|f-m3,Discovering where your friends are partying has never been easier!,Heraus zu finden wo deine Freunde feiern gehen war noch nie einfacherer!,
footer|f-team,Team,Team,
footer|f-tos,Terms of Service,Nutzungsbedingungen,
,,,
home_unauth|hu-m1,ClubbingOwl is the easiest way to join guest-lists and reserve tables at your favorite venues.,,
home_unauth|hu-m2,"ClubbingOwl provides you with the fastest way to plan your evening. Find out where your friends party and join them! With ClubbingOwl being on a guest-list or reserving a table is only one click away! It’s free, try it!",Mit ClubbingOwl wurde es noch nie so einfach auf eine Gästeliste zu kommen!,
home_unauth|hu-m3,Discovering where your friends are partying has never been easier!,Raus zu finden wo deine Freunde hin Ausgehen war noch nie einfacher!,
,,,
home_auth|ha-jpgl_m,"Joined <%=inline_link('promoters/'  + guest_list_data.up_public_identifier, guest_list_data.u_full_name)%>'s guest list <%=inline_link('promoters/'  + guest_list_data.up_public_identifier + '/guest_lists/' + pi_link_convert(guest_list_data.pgla_name), guest_list_data.pgla_name)%> at <strong><%= guest_list_data.tv_name %></strong>",,
home_auth|ha-jtgl_m,Joined the house guest list <%= guest_list_name %> at <%= venue_name %>,,
home_auth|ha-jvc_m,<%= u_full_name %> has joined <strong>ClubbingOwl</strong>!,<%= u_full_name %> ist <strong>ClubbingOwl</strong> beigetreten!,<%= u_full_name %>
home_auth|ha-activity_updates,Friend Activity / Updates,Neuigkeiten/Aktivitaeten deiner Freunde,
,,,
invitations_dialog|id-h,Invitations,Einladungen,
invitations_dialog|id-p,The following teams have invited you to be a promoter or a host:,Die folgenden Teams haben dich dazu eingeladen ein Promoter oder Gasgeber zu werden,
invitations_dialog|id-th_manager,Manager,Manager,
invitations_dialog|id-th_team_name,Team Name,Team Name,
invitations_dialog|id-th_inv_exp,Invitation Expires,Einladung laeuft ab,
invitations_dialog|id-th_inv_type,Invitation Type,Einladungs Typ,
invitations_dialog|id-th_act,Actions,Aktionen,
invitations_dialog|id-note,"Note: You can only be a promoter or host for one team, if you accept an invitation all other invitations of the same type will be declined.",,
,,,
venues|v-friends_visited_venue,<%=tv_friends_pop.length%> friend(s) have been here.,<%=tv_friends_pop.length%> Freunde waren hier.,
venues|v-coming_soon,Coming Soon!,bald da!,
venues|v-map,Map,Karte,
venues|v-description,Description,Beschreibung,
venues|v-friends,Friends,Freunde,
venues|v-promoters,Promoters,Promoter,
venues|v-friend_activity,Friend Activity,Aktivitaet deiner Freunde,
venues|v-profile,Profile,Profil,
venues|v-gl_t,Guest Lists &amp; Tables,Gaestelisten &amp; Tische,
venues|v-events,Events,Events,
venues|v-no_venues_city,No venues in <%=location%> yet! Check back soon.,Noch keine neue Clubs in <%=location%>. Schau bald noch mal.,
venues|v-jpgl,"<%= user_friend.first_name + ' ' + user_friend.last_name %> joined <%= inline_link('promoters/' + notification_data.up_public_identifier, notification_data.u_full_name, {}) %>'s guest list ""<%= inline_link('promoters/' + notification_data.up_public_identifier + '/guest_lists/' + pi_link_convert(notification_data.pgla_name), notification_data.pgla_name) %>""","<%= user_friend.first_name + ' ' + user_friend.last_name %> joined <%= inline_link('promoters/' + notification_data.up_public_identifier, notification_data.u_full_name, {}) %>'s guest list ""<%= inline_link('promoters/' + notification_data.up_public_identifier + '/guest_lists/' + pi_link_convert(notification_data.pgla_name), notification_data.pgla_name) %>""",
venues|v-jtgl,"<%= user_friend.first_name + ' ' + user_friend.last_name %> joined ""<%= notification_data.tgla_name %>""","<%= user_friend.first_name + ' ' + user_friend.last_name %> joined ""<%= notification_data.tgla_name %>""",
venues|v-friend_count_msg,<%=count%> friends have been here.,<%=count%> Freunde waren hier.,
,,,
,,,
,,,
promoters|p-friends_visited_venue,<%=tv_friends_pop.length%> friend(s) have been here.,<%=tv_friends_pop.length%> Freunde waren hier.,
promoters|p-profile,Profile,Profil,
promoters|p-gl_t,Guest Lists &amp; Tables,Gaestelisten &amp; Tische,
promoters|p-events,Events,Events,
promoters|p-venues,Venues,Clubs,
promoters|p-biography,Biography,Biographie,
promoters|p-friend_activity,Friend Activity,Aktivitaet deiner Freunde,
promoters|p-friend_news_item,<%= u_first_name %> has joined <%= pgla_name %> at <%= tv_name %>,<%= u_first_name %> ist <%= pgla_name %> at <%= tv_name %> beigetreten.,
promoters|p-venue_banner,Venue Banner,Club Banner,
promoters|p-login_msg1,Log in with Facebook to see which of your friends are partying with <%=promoter_first_name%>,Anmelden mit Facebook um zu sehen mit wem deine Freunde feiern,
promoters|p-ranking_msg,<%=promoter_full_name%>'s ranking by <strong>your</strong> ClubbingOwl friends.,<%=promoter_full_name%>'s Bewertung bei <strong>deinen</strong> ClubbingOwl Freunden.,
promoters|p-events_coming_soon,This feature is coming soon!,dieses Feature kommt bald!,
promoters|p-info_join,Info/Join,Information/ Beitreten,
